timestamp,superwatch_wave[0],superwatch_wave[10],superwatch_wave[11],superwatch_wave[12],superwatch_wave[13],superwatch_wave[14],superwatch_wave[15],superwatch_wave[1],superwatch_wave[2],superwatch_wave[3],superwatch_wave[4],superwatch_wave[5],superwatch_wave[6],superwatch_wave[7],superwatch_wave[8],superwatch_wave[9]
0.000000,-91.01,93.65,73.11,41.44,3.46,-35.05,-68.23,-99.94,-93.65,-73.11,-41.44,-3.46,35.05,68.23,91.01,99.94
0.001020,-91.27,93.43,72.68,40.86,2.83,-35.64,-68.68,-99.96,-93.43,-72.68,-40.86,-2.83,35.64,68.68,91.27,99.96
0.002022,-91.52,93.21,72.25,40.29,2.20,-36.23,-69.14,-99.98,-93.21,-72.25,-40.29,-2.20,36.23,69.14,91.52,99.98
0.003018,-91.78,92.98,71.81,39.71,1.57,-36.81,-69.59,-99.99,-92.98,-71.81,-39.71,-1.57,36.81,69.59,91.78,99.99
0.004018,-92.02,92.74,71.37,39.14,0.94,-37.40,-70.04,-100.00,-92.74,-71.37,-39.14,-0.94,37.40,70.04,92.02,100.00
0.005016,-92.27,92.51,70.93,38.56,0.31,-37.98,-70.49,-100.00,-92.51,-70.93,-38.56,-0.31,37.98,70.49,92.27,100.00
0.006018,-92.51,92.27,70.49,37.98,-0.31,-38.56,-70.93,-100.00,-92.27,-70.49,-37.98,0.31,38.56,70.93,92.51,100.00
0.007014,-92.74,92.02,70.04,37.40,-0.94,-39.14,-71.37,-100.00,-92.02,-70.04,-37.40,0.94,39.14,71.37,92.74,100.00
0.008024,-92.98,91.78,69.59,36.81,-1.57,-39.71,-71.81,-99.99,-91.78,-69.59,-36.81,1.57,39.71,71.81,92.98,99.99
0.009017,-93.21,91.52,69.14,36.23,-2.20,-40.29,-72.25,-99.98,-91.52,-69.14,-36.23,2.20,40.29,72.25,93.21,99.98
0.010020,-93.43,91.27,68.68,35.64,-2.83,-40.86,-72.68,-99.96,-91.27,-68.68,-35.64,2.83,40.86,72.68,93.43,99.96
0.011016,-93.65,91.01,68.23,35.05,-3.46,-41.44,-73.11,-99.94,-91.01,-68.23,-35.05,3.46,41.44,73.11,93.65,99.94
0.012016,-93.87,90.75,67.76,34.46,-4.08,-42.01,-73.54,-99.92,-90.75,-67.76,-34.46,4.08,42.01,73.54,93.87,99.92
0.013016,-94.09,90.48,67.30,33.87,-4.71,-42.58,-73.96,-99.89,-90.48,-67.30,-33.87,4.71,42.58,73.96,94.09,99.89
0.014016,-94.30,90.21,66.84,33.28,-5.34,-43.15,-74.38,-99.86,-90.21,-66.84,-33.28,5.34,43.15,74.38,94.30,99.86
0.015014,-94.51,89.94,66.37,32.69,-5.97,-43.71,-74.80,-99.82,-89.94,-66.37,-32.69,5.97,43.71,74.80,94.51,99.82
0.016015,-94.71,89.66,65.90,32.09,-6.59,-44.28,-75.22,-99.78,-89.66,-65.90,-32.09,6.59,44.28,75.22,94.71,99.78
0.017015,-94.91,89.38,65.42,31.50,-7.22,-44.84,-75.63,-99.74,-89.38,-65.42,-31.50,7.22,44.84,75.63,94.91,99.74
0.018014,-95.11,89.10,64.94,30.90,-7.85,-45.40,-76.04,-99.69,-89.10,-64.94,-30.90,7.85,45.40,76.04,95.11,99.69
0.019023,-95.30,88.81,64.47,30.30,-8.47,-45.96,-76.45,-99.64,-88.81,-64.47,-30.30,8.47,45.96,76.45,95.30,99.64
0.020018,-95.49,88.52,63.98,29.70,-9.10,-46.52,-76.85,-99.59,-88.52,-63.98,-29.70,9.10,46.52,76.85,95.49,99.59
0.021015,-95.67,88.23,63.50,29.10,-9.72,-47.07,-77.25,-99.53,-88.23,-63.50,-29.10,9.72,47.07,77.25,95.67,99.53
0.022015,-95.85,87.93,63.01,28.50,-10.35,-47.62,-77.65,-99.46,-87.93,-63.01,-28.50,10.35,47.62,77.65,95.85,99.46
0.023016,-96.03,87.63,62.52,27.90,-10.97,-48.18,-78.04,-99.40,-87.63,-62.52,-27.90,10.97,48.18,78.04,96.03,99.40
0.024015,-96.20,87.33,62.03,27.30,-11.60,-48.72,-78.43,-99.33,-87.33,-62.03,-27.30,11.60,48.73,78.43,96.20,99.33
0.025014,-96.37,87.02,61.54,26.69,-12.22,-49.27,-78.82,-99.25,-87.02,-61.54,-26.69,12.22,49.27,78.82,96.37,99.25
