Timestamp;.superwatch_ch00;.superwatch_ch01;.superwatch_ch02;.superwatch_ch03
0;-75.114906;-44.134937;-6.435829;32.243080
1453;-74.907158;-43.852825;-6.122303;32.540287
3423;-74.698639;-43.570240;-5.808675;32.837208
5422;-74.594131;-43.428818;-5.495039;33.133770
7417;-74.279465;-43.003876;-5.181345;33.430004
9423;-74.068741;-42.720013;-4.867554;33.725948
11419;-73.857323;-42.435772;-4.553762;34.021519
13425;-73.645142;-42.151062;-4.239875;34.316795
15423;-73.538795;-42.008575;-4.082942;34.464287
17423;-73.218666;-41.580505;-3.612086;34.906239
19422;-73.004303;-41.294552;-3.298077;35.200493
21421;-72.896873;-41.008247;-2.984095;35.494354
23485;-72.573471;-40.721489;-2.670035;35.787903
25463;-72.465317;-40.434368;-2.355990;36.081062
27446;-72.139763;-40.146812;-2.041879;36.373909
29443;-71.921860;-39.858906;-1.727799;36.666351
31437;-71.703247;-39.570599;-1.413697;36.958431
33442;-71.483887;-39.281857;-1.099533;37.250195
35460;-71.373962;-39.137371;-0.942469;37.395912
37449;-71.043098;-38.703270;-0.471225;37.832561
39440;-70.821671;-38.413425;-0.157088;38.123169
41440;-70.599533;-38.123192;0.157055;38.413395
43451;-70.376678;-37.832554;0.471237;38.703289
45464;-70.265030;-37.541618;0.785324;38.992702
47422;-69.928940;-37.250225;1.099503;39.281837
49420;-69.816574;-37.104408;1.256564;39.426231
51418;-69.478439;-36.666428;1.727718;39.858833
53417;-69.252129;-36.373936;2.041852;40.146793
55421;-69.138733;-36.227585;2.198887;40.290596
57460;-68.797493;-35.787937;2.669999;40.721462
59442;-68.569168;-35.494431;2.984017;41.008171
61441;-68.454758;-35.347538;3.141016;41.151379
63437;-68.110466;-34.906315;3.612003;41.580421
65440;-67.995377;-34.759079;3.925922;41.865925
67440;-67.649063;-34.316822;4.239851;42.151043
69429;-67.417389;-34.021587;4.553685;42.435699
71419;-67.185005;-33.725975;4.867524;42.719994
73413;-66.951988;-33.430073;5.181271;43.003807
75422;-66.835243;-33.282001;5.338120;43.145561
77456;-66.483955;-32.837238;5.808645;43.570213
79432;-66.248970;-32.540356;6.122226;43.852760
81420;-66.013298;-32.243111;6.435794;44.134903
83418;-65.777000;-31.945583;6.749254;44.416584
85423;-65.658607;-31.796705;7.062685;44.697849
87415;-65.302437;-31.349554;7.376009;44.978649
89463;-65.064201;-31.051100;7.689259;45.258991
91448;-64.825294;-30.752289;8.002475;45.538937
93444;-64.585785;-30.453215;8.315569;45.818390
95441;-64.465782;-30.303570;8.472088;45.957939
97442;-64.104805;-29.854137;8.941558;46.375973
99457;-63.863392;-29.554176;9.254390;46.654064
101420;-63.621307;-29.253881;9.567186;46.931728
103419;-63.378628;-28.953335;9.879833;47.208889
105422;-63.257015;-28.802910;10.192436;47.485630
107419;-62.891365;-28.351358;10.504887;47.761856
109478;-62.646778;-28.049913;10.817286;48.037659
111456;-62.401615;-27.748251;11.129525;48.312939
113445;-62.155830;-27.446308;11.441666;48.587746
115443;-62.032677;-27.295193;11.597734;48.725010
117443;-61.662399;-26.841578;12.065631;49.135956
119443;-61.414749;-26.538780;12.377468;49.409363
121462;-61.166527;-26.235771;12.689132;49.682236
123449;-61.042191;-26.084173;12.844917;49.818485
125442;-60.793030;-25.628944;13.312125;50.226547
127441;-60.418217;-25.325171;13.623405;50.497936
129442;-60.167564;-25.021103;13.934591;50.768864
131460;-59.916348;-24.716827;14.245600;51.039268
133420;-59.664505;-24.412271;14.556515;51.309204
135419;-59.538383;-24.259918;14.711893;51.443951
137418;-59.159134;-23.802525;15.177814;51.847458
139420;-58.905529;-23.497242;15.488288;52.115856
141420;-58.651386;-23.191786;15.798551;52.383701
143460;-58.396626;-22.886053;16.108721;52.651077
145442;-58.269047;-22.733120;16.418678;52.917892
147443;-57.885448;-22.273996;16.728474;53.184174
149434;-57.628967;-21.967587;17.038145;53.449989
151437;-57.371990;-21.661064;17.347563;53.715179
153455;-57.114376;-21.354231;17.656898;53.979927
155423;-56.985371;-21.200758;17.811483;54.112076
157422;-56.597485;-20.739973;18.275007;54.507782
159425;-56.338223;-20.432562;18.583765;54.770882
161416;-56.078403;-20.124949;18.892342;55.033447
163568;-55.817993;-19.817093;19.200775;55.295502
165443;-55.687599;-19.663113;19.508982;55.556976
167441;-55.295555;-19.200838;19.817028;55.817940
169440;-55.033539;-18.892448;20.124844;56.078308
171446;-54.770977;-18.583870;20.432461;56.338131
173442;-54.507839;-18.275070;20.739910;56.597431
175461;-54.376083;-18.120613;20.893547;56.726856
177448;-53.979980;-17.656961;21.354168;57.114315
179438;-53.715279;-17.347673;21.660957;57.371902
181441;-53.450001;-17.038164;21.967579;57.628952
183439;-53.184235;-16.728533;22.273932;57.885395
185455;-53.051155;-16.418737;22.580072;58.141266
187417;-52.651096;-16.108734;22.886034;58.396614
189424;-52.383762;-15.798616;23.191721;58.651329
191422;-52.115868;-15.488294;23.497231;58.905514
193425;-51.847504;-15.177867;23.802462;59.159081
195420;-51.713135;-15.022600;23.954985;59.285641
197461;-51.309212;-14.556524;24.412256;59.664494
199446;-51.039322;-14.245659;24.716770;59.916294
201443;-50.768887;-13.934609;25.021082;60.167538
203440;-50.497990;-13.623465;25.325111;60.418163
205434;-50.362354;-13.467839;25.628927;60.668224
207453;-49.954666;-13.000730;25.932451;60.917652
209422;-49.682285;-12.689188;26.235723;61.166477
211424;-49.409370;-12.377480;26.538769;61.414730
213422;-49.136013;-12.065694;26.841513;61.662346
215418;-48.999153;-11.909756;26.992786;61.785923
217418;-48.587799;-11.441723;27.446253;62.155777
219458;-48.312996;-11.129588;27.748194;62.401569
221444;-48.037670;-10.817298;28.049908;62.646770
223441;-47.761909;-10.504950;28.351297;62.891312
225439;-47.623856;-10.348734;28.652447;63.135273
227442;-47.208942;-9.879896;28.953276;63.378578
229456;-46.931778;-9.567243;29.253817;63.621254
231421;-46.654110;-9.254447;29.554123;63.863342
233418;-46.376026;-8.941611;29.854076;64.104752
235423;-46.236767;-8.785110;30.003998;64.225266
237422;-45.818439;-8.315629;30.453163;64.585724
239475;-45.538944;-8.002487;30.752272;64.825287
241458;-45.259045;-7.689315;31.051043;65.064156
243446;-44.978695;-7.376066;31.349499;65.302391
245441;-44.838314;-7.219371;31.647694;65.540009
247445;-44.416630;-6.749308;31.945530;65.776947
249441;-44.134918;-6.435809;32.243095;66.013275
251450;-43.852810;-6.122282;32.540302;66.248924
253423;-43.570271;-5.808705;32.837185;66.483910
255418;-43.428795;-5.651844;32.985550;66.601189
257420;-43.003864;-5.181327;33.430016;66.951942
259422;-42.720039;-4.867583;33.725914;67.184952
261463;-42.435799;-4.553789;34.021492;67.417305
263427;-42.151093;-4.239908;34.316765;67.649017
265420;-42.008610;-4.082978;34.611660;67.880043
267420;-41.580528;-3.612110;34.906216;68.110382
269424;-41.294582;-3.298110;35.200466;68.340088
271421;-41.008274;-2.984124;35.494331;68.569092
273458;-40.864967;-2.827123;35.641121;68.683334
275445;-40.578011;-2.513048;35.934502;68.911346
277448;-40.146889;-2.041957;36.373840;69.252052
279436;-39.858932;-1.727825;36.666328;69.478363
281436;-39.570629;-1.413724;36.958401;69.703957
