Timestamp;.superwatch_ch00
0;4.867576
2146;4.396848
4113;4.082967
6110;3.769045
8133;3.455086
10114;3.141093
12110;2.827068
14114;2.513040
16114;2.198963
18130;1.884865
20164;1.570747
22122;1.256615
24170;0.942470
26124;0.628339
28137;0.314179
30117;0.000015
32111;-0.314149
34111;-0.628309
36160;-0.942463
38152;-1.099525
40131;-1.570717
42128;-1.884835
44129;-2.198933
46156;-2.513010
48129;-2.827062
50115;-3.141062
52110;-3.455031
54111;-3.768990
56201;-4.082912
58147;-4.396794
60139;-4.710632
62131;-5.024400
64125;-5.338142
66134;-5.651831
68172;-5.965465
70135;-6.279039
72133;-6.592552
74130;-6.905976
76133;-7.219356
78167;-7.532664
80119;-7.845898
82110;-8.159054
84108;-8.472131
86108;-8.785099
88170;-9.098004
90112;-9.410820
92111;-9.723543
94114;-10.036171
96112;-10.348699
98128;-10.661099
100165;-10.973421
102141;-11.285633
104140;-11.597733
106137;-11.909697
108153;-12.221565
110160;-12.533291
112114;-12.844914
114112;-13.156412
116109;-13.467780
118130;-13.779016
120169;-14.090115
122159;-14.401050
124139;-14.711868
126135;-15.022542
128147;-15.333065
130134;-15.643438
132154;-15.953633
134119;-16.263695
136113;-16.573595
138135;-16.883331
140111;-17.192902
142203;-17.502304
144132;-17.811506
146130;-18.120560
148150;-18.429432
150139;-18.738123
152134;-19.046631
154157;-19.354950
156130;-19.663054
158151;-19.970985
160131;-20.278700
162134;-20.586235
164153;-20.893570
166118;-21.200695
168124;-21.507589
170110;-21.814295
172117;-22.120785
174114;-22.427057
176161;-22.733107
178157;-23.038933
180134;-23.344507
182130;-23.649876
184134;-23.955011
186159;-24.259909
188123;-24.412256
190111;-24.868984
192110;-25.173134
194115;-25.477055
196115;-25.780725
198170;-26.084143
200137;-26.387300
202133;-26.690201
204134;-26.992813
206133;-27.295181
208168;-27.597281
210121;-27.899107
212117;-28.200659
214112;-28.501909
216118;-28.802877
218122;-29.103586
220168;-29.404009
222138;-29.704138
224140;-30.003973
226137;-30.303516
228149;-30.602736
230158;-30.901674
232115;-31.200310
234112;-31.498638
236116;-31.796652
238127;-32.094357
240110;-32.391720
242158;-32.688786
244136;-32.985527
246135;-33.281944
248146;-33.578033
250132;-33.873791
252166;-34.169189
254111;-34.464279
256115;-34.759026
258129;-35.053425
260114;-35.347485
262111;-35.641193
264156;-35.934525
266136;-36.227528
268151;-36.520149
270134;-36.812435
272131;-37.104355
274161;-37.395885
276121;-37.687073
278126;-37.977882
280114;-38.268322
282112;-38.558380
284113;-38.848064
286159;-39.137337
288147;-39.281853
290129;-39.714767
292131;-40.002899
294132;-40.290634
296160;-40.577969
298125;-40.864883
300110;-41.151417
302114;-41.437542
304109;-41.723259
306111;-42.008568
308171;-42.293461
310139;-42.577911
312135;-42.861965
314136;-43.145596
316131;-43.428799
318173;-43.711575
320139;-43.993919
322132;-44.275787
324132;-44.557262
326132;-44.838295
328169;-45.118885
330115;-45.399033
332114;-45.678730
334117;-45.957954
336117;-46.236752
338130;-46.375988
340170;-46.792965
342137;-47.070381
344138;-47.347332
346135;-47.623795
348143;-47.899811
350162;-48.175350
352119;-48.450413
354112;-48.725002
356113;-48.999111
358121;-49.272713
360112;-49.545849
362157;-49.818497
364135;-50.090652
366131;-50.362312
368150;-50.633476
370135;-50.904125
372161;-51.174290
374110;-51.443947
376110;-51.713074
378123;-51.981712
380106;-52.249836
382161;-52.517433
384157;-52.784519
386133;-53.051098
388145;-53.317142
390134;-53.582661
392132;-53.847660
394159;-54.112095
396114;-54.376022
398132;-54.639416
400111;-54.902267
402113;-55.164574
404319;-55.426342
406140;-55.687542
408147;-55.948212
410138;-56.208324
412134;-56.467884
414130;-56.726891
416148;-56.985329
418132;-57.243191
420120;-57.500511
422110;-57.757259
424109;-58.013439
426156;-58.269047
428126;-58.524078
430115;-58.778496
432114;-59.032368
434115;-59.285660
436111;-59.538364
438174;-59.790482
440137;-59.916313
442133;-60.292923
444132;-60.543270
446135;-60.793011
448168;-61.042152
450114;-61.290695
452113;-61.538612
454112;-61.785934
456112;-62.032658
458184;-62.278767
460165;-62.524254
462142;-62.769127
464136;-63.013363
466134;-63.256996
468147;-63.500004
470156;-63.742386
472117;-63.984142
474115;-64.225266
476106;-64.465729
478122;-64.705582
480165;-64.944801
482158;-65.183365
484133;-65.421280
486132;-65.658554
488149;-65.776947
490129;-66.131157
492163;-66.366493
494106;-66.601166
496112;-66.835190
498126;-67.068550
500114;-67.301224
502229;-67.533264
504137;-67.764626
506136;-67.995323
508149;-68.225349
510131;-68.454704
512128;-68.683365
514159;-68.911362
516131;-69.138680
518148;-69.365326
520133;-69.591270
522135;-69.816536
524159;-70.041100
526118;-70.264984
528127;-70.488174
530113;-70.710670
532115;-70.932472
534117;-71.153572
536162;-71.373947
538155;-71.483871
540135;-71.812607
542130;-72.030884
544135;-72.248444
546217;-72.465302
548153;-72.681419
550133;-72.896843
552134;-73.111549
554133;-73.325523
556127;-73.538780
558168;-73.751305
560116;-73.963097
562112;-74.174164
564114;-74.384499
566111;-74.594101
568180;-74.802979
570161;-75.011101
572142;-75.218483
574142;-75.425125
576140;-75.631035
578155;-75.836189
580147;-76.040581
582118;-76.244255
584113;-76.447144
586112;-76.649307
588129;-76.850685
590161;-77.051308
592107;-77.251175
594115;-77.450302
596111;-77.648628
598125;-77.846230
600113;-78.043022
602159;-78.239052
604129;-78.434334
606128;-78.628822
608148;-78.822556
610131;-79.015488
612154;-79.207634
614112;-79.399033
616113;-79.589615
618128;-79.779442
620118;-79.968452
622109;-80.156693
624155;-80.344131
626135;-80.530762
628146;-80.716637
630132;-80.901680
632132;-81.085953
634157;-81.269409
636113;-81.452049
638124;-81.543098
640116;-81.814957
642117;-81.995216
644115;-82.174629
646157;-82.353264
648149;-82.531059
650132;-82.708046
652133;-82.884232
654132;-83.059578
656161;-83.234131
658137;-83.407837
660108;-83.580719
662118;-83.752808
664116;-83.924034
666114;-84.094467
668179;-84.264030
670135;-84.432808
672131;-84.600685
674133;-84.767761
676128;-84.934021
678177;-85.099419
680120;-85.264000
682115;-85.427719
684113;-85.590591
686116;-85.752647
688122;-85.913834
690168;-86.074188
692145;-86.233673
694143;-86.392334
696139;-86.550117
698149;-86.707047
700160;-86.863136
702115;-87.018356
704115;-87.172737
706110;-87.326225
708125;-87.478867
710114;-87.630653
712160;-87.781563
714141;-87.931618
716134;-88.080795
718146;-88.229118
720139;-88.376549
722165;-88.523109
724116;-88.668816
726110;-88.813629
728127;-88.957581
730110;-89.100639
732111;-89.242813
734162;-89.384140
736140;-89.524551
738149;-89.664101
740133;-89.802750
742132;-89.940506
744160;-90.077400
746116;-90.213379
748128;-90.348495
750114;-90.482697
752110;-90.616020
754113;-90.748444
756157;-90.879959
758151;-91.010597
760130;-91.140320
762133;-91.269165
764133;-91.397079
766155;-91.524109
768127;-91.650238
770117;-91.775452
772113;-91.899780
774111;-92.023178
776162;-92.145691
778164;-92.267273
780130;-92.387924
782135;-92.507706
784131;-92.626556
786133;-92.744507
788166;-92.803131
790114;-92.977623
792116;-93.092827
794109;-93.207092
796111;-93.320450
798124;-93.432877
800167;-93.544403
802145;-93.654976
804137;-93.764633
806132;-93.873383
808142;-93.981186
810152;-94.088074
812112;-94.194016
814109;-94.299034
816112;-94.403145
818123;-94.506294
820112;-94.608536
822160;-94.709824
824139;-94.810196
826133;-94.909607
828150;-95.008095
830137;-95.105652
832157;-95.202255
834119;-95.297935
836119;-95.392662
838123;-95.486443
840111;-95.579300
842112;-95.671204
844158;-95.762169
846135;-95.852180
848146;-95.941254
850135;-96.029373
852133;-96.116539
854155;-96.202766
856119;-96.288040
858125;-96.372375
860113;-96.455742
862119;-96.538162
864113;-96.619637
866161;-96.700150
868152;-96.779716
870126;-96.858315
872128;-96.935974
874133;-97.012665
876160;-97.088394
878124;-97.163177
880110;-97.236992
882109;-97.309860
884109;-97.381752
886201;-97.452690
888147;-97.522659
890130;-97.591667
892132;-97.659721
894135;-97.726807
896133;-97.792923
898170;-97.858086
900132;-97.922272
902135;-97.985497
904129;-98.047760
906127;-98.109047
908171;-98.169365
910115;-98.228714
912109;-98.287109
914111;-98.344513
916112;-98.400963
918121;-98.456429
920150;-98.510925
922122;-98.564461
924116;-98.617012
926119;-98.668594
928135;-98.719200
930214;-98.768837
932134;-98.817490
934129;-98.865166
936130;-98.911880
938145;-98.934868
940130;-99.002365
942156;-99.046143
944115;-99.088936
946117;-99.130760
948120;-99.171600
950112;-99.211472
952220;-99.250351
954137;-99.288261
956126;-99.325188
958144;-99.361130
960132;-99.396095
962133;-99.430077
964157;-99.463081
966119;-99.495102
968128;-99.526138
970120;-99.556198
972113;-99.585274
974157;-99.613365
976115;-99.640472
978127;-99.666595
980112;-99.691734
982115;-99.715889
984166;-99.739059
986160;-99.761246
988153;-99.782455
990134;-99.802673
992126;-99.821907
994132;-99.840157
996157;-99.857414
998134;-99.873695
1000113;-99.888985
1002114;-99.903290
1004117;-99.916611
1006156;-99.928947
1008128;-99.940292
1010113;-99.950653
1012109;-99.960030
1014114;-99.968414
1016111;-99.975815
1018176;-99.982231
1020134;-99.987663
1022131;-99.992104
1024130;-99.995560
1026131;-99.998024
1028171;-99.999504
1030118;-100.000000
1032114;-99.999504
1034113;-99.998024
1036110;-99.995560
1038128;-99.993958
1040164;-99.987663
1042142;-99.982239
1044136;-99.975815
1046136;-99.968422
1048149;-99.960030
1050161;-99.950661
1052115;-99.940292
1054114;-99.928955
1056113;-99.916611
1058130;-99.903297
1060108;-99.888985
1062158;-99.873695
1064131;-99.857422
1066135;-99.840157
1068142;-99.821907
1070136;-99.802673
1072152;-99.782455
1074121;-99.761253
1076119;-99.739059
1078123;-99.715897
1080111;-99.691734
1082107;-99.666595
1084153;-99.640472
1086131;-99.613365
1088139;-99.599442
1090131;-99.556198
1092126;-99.526146
1094161;-99.495102
1096119;-99.463081
1098128;-99.430084
1100115;-99.396095
1102111;-99.361130
1104161;-99.325195
1106116;-99.288269
1108122;-99.250359
1110115;-99.211479
1112111;-99.171616
1114110;-99.130768
1116156;-99.088951
1118158;-99.046150
1120135;-99.002373
1122131;-98.957619
1124130;-98.911888
1126150;-98.865181
1128132;-98.817497
1130115;-98.768845
1132110;-98.719200
1134108;-98.668602
1136110;-98.617020
1138173;-98.564461
1140134;-98.510941
1142133;-98.456436
1144132;-98.400970
1146126;-98.344528
1148167;-98.287109
1150118;-98.228737
1152113;-98.169373
1154108;-98.109062
1156115;-98.047760
1158125;-97.985512
1160169;-97.922287
1162140;-97.858093
1164137;-97.792938
1166143;-97.726814
1168152;-97.659729
1170170;-97.591690
1172116;-97.522667
1174107;-97.452698
1176110;-97.381752
1178123;-97.309860
1180112;-97.236992
1182160;-97.163177
1184141;-97.088402
1186134;-97.012665
1188150;-96.935974
1190136;-96.858315
1192165;-96.779716
1194118;-96.700165
1196110;-96.619637
1198126;-96.538177
1200112;-96.455742
1202112;-96.372375
1204156;-96.288055
1206131;-96.202766
1208152;-96.116547
1210128;-96.029381
1212131;-95.941261
1214157;-95.852188
1216113;-95.762184
1218124;-95.671227
1220114;-95.579315
1222113;-95.486473
1224112;-95.392677
1226156;-95.297951
1228149;-95.202286
1230136;-95.105667
1232133;-95.008125
1234131;-94.909630
1236162;-94.810204
1238134;-94.760147
1240115;-94.608551
1242114;-94.506332
1244115;-94.403160
1246115;-94.299072
1248170;-94.194038
1250137;-94.088089
1252135;-93.981209
